date,day_situation,restrictions,case_status,total_cases,new_cases,new_cases_smoothed,death_status,total_deaths,test_status,total_tests,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index
22-03-20,FDS,FALSE,INCREASE,1,1,,MAINTAIN,0,MAINTAIN,0,0,0,0,0,0,0,0,0,22.22
23-03-20,NORMAL,FALSE,INCREASE,1,0,,MAINTAIN,0,MAINTAIN,0,0,0,0,0,0,0,0,0,47.22
24-03-20,NORMAL,FALSE,INCREASE,3,2,,MAINTAIN,0,MAINTAIN,0,0,0,0,0,0,0,0,0,47.22
25-03-20,NORMAL,FALSE,INCREASE,5,2,,MAINTAIN,0,MAINTAIN,0,0,0,0,0,0,0,0,0,47.22
26-03-20,NORMAL,FALSE,INCREASE,7,2,,MAINTAIN,0,MAINTAIN,0,0,0,0,0,0,0,0,0,47.22
27-03-20,FDS,FALSE,INCREASE,7,0,1,MAINTAIN,0,MAINTAIN,0,0,0,0,0,0,0,0,0,47.22
28-03-20,FDS,FALSE,INCREASE,8,1,1.143,MAINTAIN,0,MAINTAIN,205,0,0,0,0,0,0,0,0,47.22
29-03-20,FDS,FALSE,DECREASE,8,0,1,MAINTAIN,0,INCREASE,0,0,0,0,0,0,0,0,0,47.22
30-03-20,NORMAL,FALSE,DECREASE,8,0,1,MAINTAIN,0,INCREASE,233,0,0,0,0,0,0,0,0,47.22
31-03-20,NORMAL,FALSE,DECREASE,8,0,0.714,MAINTAIN,0,INCREASE,269,0,0,0,0,0,0,0,0,47.22
1/4/2020,NORMAL,TRUE,DECREASE,10,2,0.714,MAINTAIN,0,INCREASE,288,0,0,0,0,0,0,0,0,56.48
2/4/2020,NORMAL,TRUE,DECREASE,10,0,0.429,MAINTAIN,0,INCREASE,306,0,0,0,0,0,0,0,0,56.48
3/4/2020,FDS,TRUE,DECREASE,10,0,0.429,MAINTAIN,0,INCREASE,321,0,0,0,0,0,0,0,0,56.48
4/4/2020,FDS,TRUE,DECREASE,10,0,0.286,MAINTAIN,0,INCREASE,345,0,0,0,0,0,0,0,0,56.48
5/4/2020,FDS,TRUE,INCREASE,10,0,0.286,MAINTAIN,0,INCREASE,367,0,0,0,0,0,0,0,0,56.48
6/4/2020,NORMAL,TRUE,INCREASE,10,0,0.286,MAINTAIN,0,INCREASE,371,0,0,0,0,0,0,0,0,56.48
7/4/2020,FERIADO,TRUE,INCREASE,10,0,0.286,MAINTAIN,0,INCREASE,428,0,0,0,0,0,0,0,0,56.48
8/4/2020,NORMAL,TRUE,INCREASE,17,7,1,MAINTAIN,0,INCREASE,471,0,0,0,0,0,0,0,0,56.48
9/4/2020,NORMAL,TRUE,INCREASE,17,0,1,MAINTAIN,0,INCREASE,487,0,0,0,0,0,0,0,0,56.48
10/4/2020,FDSLONG,TRUE,INCREASE,20,3,1.429,MAINTAIN,0,INCREASE,541,0,0,0,0,0,0,0,0,56.48
11/4/2020,FDSLONG,TRUE,INCREASE,20,0,1.429,MAINTAIN,0,INCREASE,551,0,0,0,0,0,0,0,0,56.48
12/4/2020,FDSLONG,TRUE,INCREASE,21,1,1.571,MAINTAIN,0,INCREASE,679,0,0,0,0,0,0,0,0,56.48
13-04-20,NORMAL,TRUE,INCREASE,21,0,1.571,MAINTAIN,0,INCREASE,683,0,0,0,0,0,0,0,0,56.48
14-04-20,NORMAL,TRUE,INCREASE,28,7,2.571,MAINTAIN,0,INCREASE,762,0,0,0,0,0,0,0,0,56.48
15-04-20,NORMAL,TRUE,INCREASE,29,1,1.714,MAINTAIN,0,INCREASE,793,0,0,0,0,0,0,0,0,56.48
16-04-20,NORMAL,TRUE,INCREASE,31,2,2,MAINTAIN,0,INCREASE,855,0,0,0,0,0,0,0,0,56.48
17-04-20,FDS,TRUE,INCREASE,34,3,2,MAINTAIN,0,INCREASE,898,0,0,0,0,0,0,0,0,56.48
18-04-20,FDS,TRUE,INCREASE,35,1,2.143,MAINTAIN,0,INCREASE,952,0,0,0,0,0,0,0,0,56.48
19-04-20,FDS,TRUE,INCREASE,39,4,2.571,MAINTAIN,0,INCREASE,1037,0,0,0,0,0,0,0,0,56.48
20-04-20,NORMAL,TRUE,INCREASE,39,0,2.571,MAINTAIN,0,INCREASE,1110,0,0,0,0,0,0,0,0,56.48
21-04-20,NORMAL,TRUE,INCREASE,39,0,1.571,MAINTAIN,0,INCREASE,1163,0,0,0,0,0,0,0,0,56.48
22-04-20,NORMAL,TRUE,INCREASE,41,2,1.714,MAINTAIN,0,INCREASE,1247,0,0,0,0,0,0,0,0,56.48
23-04-20,NORMAL,TRUE,INCREASE,46,5,2.143,MAINTAIN,0,INCREASE,1325,0,0,0,0,0,0,0,0,56.48
24-04-20,FDS,TRUE,INCREASE,65,19,4.429,MAINTAIN,0,INCREASE,1439,0,0,0,0,0,0,0,0,56.48
25-04-20,FDS,TRUE,INCREASE,70,5,5,MAINTAIN,0,INCREASE,1575,0,0,0,0,0,0,0,0,56.48
26-04-20,FDS,TRUE,DECREASE,76,6,5.286,MAINTAIN,0,INCREASE,1644,0,0,0,0,0,0,0,0,56.48
27-04-20,NORMAL,TRUE,DECREASE,76,0,5.286,MAINTAIN,0,INCREASE,1688,0,0,0,0,0,0,0,0,56.48
28-04-20,NORMAL,TRUE,DECREASE,76,0,5.286,MAINTAIN,0,INCREASE,1772,0,0,0,0,0,0,0,0,56.48
29-04-20,NORMAL,TRUE,DECREASE,76,0,5,MAINTAIN,0,INCREASE,1896,0,0,0,0,0,0,0,0,56.48
30-04-20,NORMAL,TRUE,DECREASE,76,0,4.286,MAINTAIN,0,INCREASE,2076,0,0,0,0,0,0,0,0,56.48
1/5/2020,FDSLONG,FALSE,DECREASE,79,3,2,MAINTAIN,0,INCREASE,2246,0,0,0,0,0,0,0,0,56.48
2/5/2020,FDSLONG,FALSE,DECREASE,79,0,1.286,MAINTAIN,0,INCREASE,2337,0,0,0,0,0,0,0,0,56.48
3/5/2020,FDSLONG,FALSE,DECREASE,80,1,0.571,MAINTAIN,0,INCREASE,2466,0,0,0,0,0,0,0,0,56.48
4/5/2020,NORMAL,FALSE,DECREASE,80,0,0.571,MAINTAIN,0,INCREASE,2598,0,0,0,0,0,0,0,0,56.48
5/5/2020,NORMAL,FALSE,DECREASE,81,1,0.714,MAINTAIN,0,INCREASE,2867,0,0,0,0,0,0,0,0,56.48
6/5/2020,NORMAL,FALSE,DECREASE,81,0,0.714,MAINTAIN,0,INCREASE,3041,0,0,0,0,0,0,0,0,56.48
7/5/2020,NORMAL,FALSE,DECREASE,81,0,0.714,MAINTAIN,0,INCREASE,3188,0,0,0,0,0,0,0,0,56.48
8/5/2020,FDS,FALSE,DECREASE,82,1,0.429,MAINTAIN,0,INCREASE,3356,0,0,0,0,0,0,0,0,56.48
9/5/2020,FDS,FALSE,DECREASE,87,5,1.143,MAINTAIN,0,INCREASE,3749,0,0,0,0,0,0,0,0,56.48
10/5/2020,FDS,FALSE,INCREASE,91,4,1.571,MAINTAIN,0,INCREASE,3923,0,0,0,0,0,0,0,0,56.48
11/5/2020,NORMAL,FALSE,INCREASE,103,12,3.286,MAINTAIN,0,INCREASE,4173,0,0,0,0,0,0,0,0,56.48
12/5/2020,NORMAL,FALSE,INCREASE,104,1,3.286,MAINTAIN,0,INCREASE,4365,0,0,0,0,0,0,0,0,56.48
13-05-20,NORMAL,FALSE,INCREASE,104,0,3.286,MAINTAIN,0,INCREASE,4740,0,0,0,0,0,0,0,0,56.48
14-05-20,NORMAL,FALSE,INCREASE,115,11,4.857,MAINTAIN,0,INCREASE,5119,0,0,0,0,0,0,0,0,56.48
15-05-20,FDS,FALSE,INCREASE,119,4,5.286,MAINTAIN,0,INCREASE,5361,0,0,0,0,0,0,0,0,56.48
16-05-20,FDS,FALSE,INCREASE,129,10,6,MAINTAIN,0,INCREASE,5735,0,0,0,0,0,0,0,0,56.48
17-05-20,FDS,FALSE,DECREASE,137,8,6.571,MAINTAIN,0,INCREASE,6011,0,0,0,0,0,0,0,0,56.48
18-05-20,NORMAL,FALSE,DECREASE,145,8,6,MAINTAIN,0,INCREASE,6272,0,0,0,0,0,0,0,0,56.48
19-05-20,NORMAL,FALSE,DECREASE,146,1,6,MAINTAIN,0,INCREASE,6537,0,0,0,0,0,0,0,0,56.48
20-05-20,NORMAL,FALSE,DECREASE,156,10,7.429,MAINTAIN,0,INCREASE,6769,0,0,0,0,0,0,0,0,56.48
21-05-20,NORMAL,FALSE,DECREASE,162,6,6.714,MAINTAIN,0,INCREASE,7063,0,0,0,0,0,0,0,0,56.48
22-05-20,FDS,FALSE,DECREASE,164,2,6.429,MAINTAIN,0,INCREASE,7480,0,0,0,0,0,0,0,0,56.48
23-05-20,FDS,FALSE,DECREASE,168,4,5.571,MAINTAIN,0,INCREASE,7947,0,0,0,0,0,0,0,0,56.48
24-05-20,FDS,FALSE,INCREASE,194,26,8.143,INCREASE,0,INCREASE,8463,0,0,0,0,0,0,0,0,56.48
25-05-20,NORMAL,FALSE,INCREASE,209,15,9.143,INCREASE,1,INCREASE,8796,0,0,0,0,0,0,0,0,56.48
26-05-20,NORMAL,FALSE,INCREASE,213,4,9.571,INCREASE,1,INCREASE,9036,0,0,0,0,0,0,0,0,56.48
27-05-20,NORMAL,FALSE,INCREASE,227,14,10.143,INCREASE,1,INCREASE,9330,0,0,0,0,0,0,0,0,56.48
28-05-20,NORMAL,FALSE,INCREASE,233,6,10.143,INCREASE,2,INCREASE,9818,0,0,0,0,0,0,0,0,69.44
29-05-20,FDS,FALSE,INCREASE,234,1,10,INCREASE,2,INCREASE,10234,0,0,0,0,0,0,0,0,75
30-05-20,FDS,FALSE,INCREASE,244,10,10.857,INCREASE,2,INCREASE,10261,0,0,0,0,0,0,0,0,75
31-05-20,FDS,TRUE,INCREASE,254,10,8.571,DECREASE,2,INCREASE,10878,0,0,0,0,0,0,0,0,75
1/6/2020,FERIADO,TRUE,INCREASE,254,0,6.429,DECREASE,2,INCREASE,10970,0,0,0,0,0,0,0,0,75
2/6/2020,NORMAL,TRUE,INCREASE,307,53,13.429,DECREASE,2,INCREASE,11239,0,0,0,0,0,0,0,0,75
3/6/2020,NORMAL,TRUE,INCREASE,316,9,12.714,DECREASE,2,INCREASE,11572,0,0,0,0,0,0,0,0,75
4/6/2020,NORMAL,TRUE,INCREASE,352,36,17,DECREASE,2,INCREASE,12126,0,0,0,0,0,0,0,0,75
5/6/2020,FDS,TRUE,INCREASE,354,2,17.143,DECREASE,2,INCREASE,12343,0,0,0,0,0,0,0,0,75
